buyer_id,adults,children,room
5,1,1,1
5,1,1,1
5,2,1,1
5,2,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
5,1,1,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,1,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
7,2,0,1
8,1,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,1,0,1
8,1,0,1
8,1,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
8,2,0,1
9,1,0,1
9,1,0,1
9,1,0,1
9,1,0,1
9,1,0,1
9,1,0,1
9,1,0,1
9,1,0,1
9,1,0,1
9,1,0,1
12,2,0,1
12,2,0,1
12,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,1,0,1
14,1,0,1
14,1,0,1
14,1,0,1
14,1,0,1
14,1,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
14,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,1,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
15,2,0,1
16,2,0,1
16,2,0,1
16,2,0,1
16,2,0,1
16,2,0,1
16,2,0,1
16,2,0,1
16,2,0,1
16,2,0,1
16,2,0,1
16,2,0,1
17,2,0,1
17,2,0,1
17,2,0,1
17,2,0,1
17,2,0,1
17,2,0,1
17,2,0,1
17,2,0,1
17,2,0,1
17,2,0,1
17,2,0,1
17,2,0,1
17,2,0,1
24,1,0,1
24,1,0,1
24,1,0,1
24,1,0,1
24,1,0,1
24,1,0,1
24,1,0,1
24,1,0,1
27,2,0,1
27,3,0,1
27,3,0,1
27,3,0,1
27,3,0,1
27,3,0,1
27,3,0,1
27,3,0,1
27,3,0,1
28,1,0,1
28,1,0,1
28,1,0,1
28,1,0,1
28,2,1,1
28,2,1,1
28,2,1,1
28,2,1,1
28,2,1,1
28,2,1,1
28,2,1,1
28,2,0,1
28,2,0,1
28,2,0,1
29,3,0,1
29,3,0,1
29,3,0,1
29,3,0,1
35,2,0,1
35,2,0,1
35,2,0,1
35,2,0,1
35,2,0,1
35,2,0,1
35,2,0,1
35,2,0,1
35,2,0,1
35,2,0,1
35,2,0,1
51,3,0,1
51,3,0,1
51,3,0,1
51,3,0,1
51,3,0,1
54,2,0,1
54,2,0,1
54,2,0,1
